x,value
-6.283185307179586,4.0828098382988425E15
-6.2731853071795864,100.00166668611101
-6.263185307179587,50.003333488895905
-6.253185307179587,33.3383338583836
-6.243185307179587,25.006667911321472
-6.233185307179587,20.008335764530088
-6.2231853071795875,16.676670868261827
-6.213185307179588,14.297387625273261
-6.203185307179588,12.51334329561183
-6.193185307179588,11.126125298227976
-6.183185307179588,10.016686131634964
-6.173185307179589,9.10926833785884
-6.163185307179589,8.353366984425989
-6.153185307179589,7.71401715467583
-6.143185307179589,7.1662439422361155
-6.133185307179589,6.6917324477183655
-6.12318530717959,6.276746526662203
-6.11318530717959,5.910782097037918
-6.10318530717959,5.585669344256921
-6.09318530717959,5.294958440397781
-6.0831853071795905,5.033489547672444
-6.073185307179591,4.797085678052678
-6.063185307179591,4.582329318460354
-6.053185307179591,4.386397327654406
-6.043185307179591,4.206937108903002
-6.033185307179592,4.041972501221152
-6.023185307179592,3.8898313880215976
-6.013185307179592,3.749089392738584
-6.003185307179592,3.6185256396813714
-5.993185307179592,3.4970876678207374
-5.983185307179593,3.3838633618241896
-5.973185307179593,3.2780583157999374
-5.963185307179593,3.178977441344672
-5.953185307179593,3.0860099195883706
-5.9431853071795935,2.9986168087662337
-5.933185307179594,2.9163207762124226
-5.923185307179594,2.8386975416936684
-5.913185307179594,2.7653687083158354
-5.903185307179594,2.6959957253979967
-5.8931853071795945,2.63027478014045
-5.883185307179595,2.5679324555478336
-5.873185307179595,2.5087220237833927
-5.863185307179595,2.4524202690493095
-5.853185307179595,2.398824753791267
-5.843185307179596,2.347751457698499
-5.833185307179596,2.299032731509015
-5.823185307179596,2.2525155177149716
-5.813185307179596,2.208059798417198
-5.8031853071795965,2.165537237203081
-5.793185307179597,2.1248299873302705
-5.783185307179597,2.085829642933528
-5.773185307179597,2.0484363136241694
-5.763185307179597,2.0125578058717006
-5.7531853071795975,1.9781088970644358
-5.743185307179598,1.9450106902352744
-5.733185307179598,1.9131900391862855
-5.723185307179598,1.8825790352123604
-5.713185307179598,1.8531145478592657
-5.703185307179599,1.8247378131948178
-5.693185307179599,1.7973940639561665
-5.683185307179599,1.7710321966877578
-5.673185307179599,1.7456044716252825
-5.6631853071795994,1.7210662416286142
-5.6531853071796,1.6973757069362034
-5.6431853071796,1.6744936929168466
-5.6331853071796,1.6523834483423305
-5.6231853071796,1.631010462004635
-5.6131853071796005,1.6103422957612472
-5.603185307179601,1.5903484323176051
-5.593185307179601,1.5710001362517514
-5.583185307179601,1.552270326957131
-5.573185307179601,1.5341334623286604
-5.563185307179602,1.5165654321477464
-5.553185307179602,1.4995434602363804
-5.543185307179602,1.4830460145509696
-5.533185307179602,1.4670527244750349
-5.523185307179602,1.4515443046478929
-5.513185307179603,1.4365024847353254
-5.503185307179603,1.4219099446091588
-5.493185307179603,1.4077502544566711
-5.483185307179603,1.394007819388659
-5.4731853071796035,1.3806678281575815
-5.463185307179604,1.3677162056351262
-5.453185307179604,1.3551395687323355
-5.443185307179604,1.342925185475627
-5.433185307179604,1.3310609369790198
-5.423185307179605,1.3195352820770523
-5.413185307179605,1.3083372244045317
-5.403185307179605,1.2974562817287152
-5.393185307179605,1.2868824573569972
-5.383185307179605,1.2766062134589147
-5.373185307179606,1.2666184461554664
-5.363185307179606,1.2569104622415248
-5.353185307179606,1.247473957418681
-5.343185307179606,1.238300995926313
-5.3331853071796065,1.229383991468118
-5.323185307179607,1.2207156893399331
-5.313185307179607,1.2122891496724404
-5.303185307179607,1.2040977317094133
-5.293185307179607,1.1961350790485963
-5.2831853071796075,1.1883951057781372
-5.273185307179608,1.18087198344683
-5.263185307179608,1.173560128811273
-5.253185307179608,1.1664541923074818
-5.243185307179608,1.1595490471985477
-5.233185307179609,1.1528397793536211
-5.223185307179609,1.1463216776169092
-5.213185307179609,1.1399902247284597
-5.203185307179609,1.1338410887613624
-5.1931853071796095,1.1278701150426038
-5.18318530717961,1.1220733185272134
-5.17318530717961,1.1164468765975406
-5.16318530717961,1.110987122261536
-5.15318530717961,1.105690537725766
-5.1431853071796105,1.100553748320627
-5.133185307179611,1.095573516756798
-5.123185307179611,1.0907467376934419
-5.113185307179611,1.0860704326000186
-5.103185307179611,1.0815417448948181
-5.093185307179612,1.0771579353444913
-5.083185307179612,1.0729163777099078
-5.073185307179612,1.0688145546246839
-5.063185307179612,1.0648500536936267
-5.0531853071796125,1.0610205637992074
-5.043185307179613,1.0573238716049589
-5.033185307179613,1.0537578582454423
-5.023185307179613,1.0503204961930999
-5.013185307179613,1.0470098462929653
-5.0031853071796135,1.0438240549567812
-4.993185307179614,1.040761351508645
-4.983185307179614,1.0378200456748092
-4.973185307179614,1.034998525210758
-4.963185307179614,1.0322952536591228
-4.953185307179615,1.0297087682324357
-4.943185307179615,1.0272376778151102
-4.933185307179615,1.0248806610794083
-4.923185307179615,1.0226364647105162
-4.913185307179615,1.0205039017361635
-4.903185307179616,1.018481849956545
-4.893185307179616,1.0165692504705872
-4.883185307179616,1.0147651062948846
-4.873185307179616,1.0130684810718842
-4.8631853071796165,1.0114784978641531
-4.853185307179617,1.0099943380317897
-4.843185307179617,1.0086152401902677
-4.833185307179617,1.007340499246211
-4.823185307179617,1.006169465508803
-4.813185307179618,1.0051015438747248
-4.803185307179618,1.004136193084701
-4.793185307179618,1.0032729250499162
-4.783185307179618,1.002511304246727
-4.773185307179618,1.0018509471782713
-4.763185307179619,1.0012915219017242
-4.753185307179619,1.0008327476201204
-4.743185307179619,1.0004743943377978
-4.733185307179619,1.0002162825786824
-4.7231853071796195,1.0000582831667637
-4.71318530717962,1.0000003170682659
-4.70318530717962,1.0000423552951547
-4.69318530717962,1.0001844188697568
-4.68318530717962,1.0004265788504183
-4.6731853071796206,1.0007689564182514
-4.663185307179621,1.0012117230251774
-4.653185307179621,1.001755100603593
-4.643185307179621,1.002399361838142
-4.633185307179621,1.0031448305002137
-4.623185307179622,1.0039918818459315
-4.613185307179622,1.0049409430785414
-4.603185307179622,1.0059924938762703
-4.593185307179622,1.0071470669868698
-4.5831853071796225,1.0084052488902209
-4.573185307179623,1.009767680530549
